"State","District","Date","Year","Month","Avg_rainfall","Agency_name"
"Andaman & Nicobar","Nicobars","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Andaman & Nicobar","Nicobars","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Andaman & Nicobar","North And Middle Andaman","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Andaman & Nicobar","South Andamans","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Anantapur","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Chittoor","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","East Godavari","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Guntur","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Krishna","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Kurnool","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Prakasam","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","SPSR Nellore","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","SPSR Nellore","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","SPSR Nellore","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Srikakulam","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Srikakulam","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Srikakulam","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Visakhapatanam","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Vizianagaram","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Vizianagaram","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Vizianagaram","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","West Godavari","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","West Godavari","2024-01-02","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","West Godavari","2024-01-03","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Y.S.R.","2024-01-01","2024","01","NA","IMD GRID MODEL"
"Andhra Pradesh","Y.S.R.","2024-01-02","2024","01","NA","IMD GRID MODEL"
